CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
31611785  ,MASCULINO,UNITEC-TGU,PREGRADO,68.77,74.00,43.00,59.00,4,4,ÉTICA PROFESIONAL             ,RET,FCAS,Admon. Indust.
31611785  ,MASCULINO,UNITEC-TGU,PREGRADO,68.77,74.00,43.00,59.00,4,4,PORTUGUÉS III                 ,RET,FCAS,Admon. Indust.
31611785  ,MASCULINO,UNITEC-TGU,PREGRADO,68.77,74.00,43.00,59.00,4,4,MERC. E INTERMED. FINANCIEROS ,RET,FCAS,Admon. Indust.
31611785  ,MASCULINO,UNITEC-TGU,PREGRADO,68.77,74.00,43.00,59.00,4,4,ADMIN. DE VENTAS              ,RET,FCAS,Admon. Indust.
11251027  ,MASCULINO,UNITEC-TGU,PREGRADO,79.97,77.00,43.00,58.00,4,4,SIST GESTIÓN LOGÍSTICA        ,RET,FCAS,Mkt y Negocios
11251027  ,MASCULINO,UNITEC-TGU,PREGRADO,79.97,77.00,43.00,58.00,4,4,LAB DISEÑO GRÁFICO            ,RET,FCAS,Mkt y Negocios
11251027  ,MASCULINO,UNITEC-TGU,PREGRADO,79.97,77.00,43.00,58.00,4,4,MARKETING SOCIAL Y SERVICIOS  ,RET,FCAS,Mkt y Negocios
11251027  ,MASCULINO,UNITEC-TGU,PREGRADO,79.97,77.00,43.00,58.00,4,4,OPERA DEL COMER EXT           ,RET,FCAS,Mkt y Negocios
11511248  ,FEMENINO,UNITEC-TGU,PREGRADO,70.12,70.00,44.00,66.00,1,1,DERECHO COMERCIAL INTERNAC.   ,RET,FCAS,Derecho
11911161  ,MASCULINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,66.00,4,4,HISTORIA DE HONDURAS          ,RET,FCAS,Derecho
11911161  ,MASCULINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,66.00,4,4,OFIMÁTICA I                   ,RET,FCAS,Derecho
11911161  ,MASCULINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,66.00,4,4,ESPANOL                       ,RET,FCAS,Derecho
11911161  ,MASCULINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,66.00,4,4,INTRO. AL ESTUDIO DEL DERECHO ,RET,FCAS,Derecho
11641221  ,FEMENINO,UNITEC-TGU,PREGRADO,57.00,69.00,6.00,62.00,2,2,ESPANOL                       ,SD,FCAS,Psicología
11641221  ,FEMENINO,UNITEC-TGU,PREGRADO,57.00,69.00,6.00,62.00,2,2,INGLÉS II                     ,SD,FCAS,Psicología
